"GEO_ID","NAME","B19113_001M","B19113_001MA","B19113_001E","B19113_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania","34939","null","130919","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","3554","null","34868","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","25864","null","121516","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","61804","null","9583","null",
"1400000US42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","39121","null","100494","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","2411","null","62208","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","54283","null","106574","null",
"1400000US42101000700","Census Tract 7, Philadelphia County, Pennsylvania","36383","null","82841","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","28540","null","184145","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","29486","null","186000","null",
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","68187","null","82083","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","46688","null","105625","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","59803","null","101845","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","50799","null","135109","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","73301","null","171333","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","38499","null","120365","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","81370","null","155234","null",
