"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania","7868","null","73041","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","11438","null","43218","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","11916","null","65577","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","10955","null","21832","null",
"1400000US42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","14677","null","50020","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","10896","null","45357","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","18277","null","53938","null",
"1400000US42101000700","Census Tract 7, Philadelphia County, Pennsylvania","11895","null","38750","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","35425","null","79000","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","19447","null","59135","null",
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","13574","null","62589","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","19221","null","39265","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","12245","null","16429","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","19863","null","85179","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","18586","null","90699","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","12462","null","45203","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","19322","null","68214","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","22453","null","80547","null",
"1400000US42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","8639","null","60346","null",
"1400000US42101001300","Census Tract 13, Philadelphia County, Pennsylvania","8733","null","53947","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","17353","null","58125","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","9061","null","62591","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","14708","null","62266","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","14810","null","72083","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","23354","null","58968","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","10360","null","48523","null",
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","6125","null","14153","null",
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","3428","null","30197","null",
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","16404","null","20789","null",
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","9488","null","27667","null",
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","7230","null","39080","null",
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","5025","null","27123","null",
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","7965","null","24291","null",
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","9625","null","58828","null",
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","6896","null","29076","null",
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","6285","null","40927","null",
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","9712","null","43828","null",
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","3477","null","31243","null",
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","5224","null","21910","null",
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","12980","null","24091","null",
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","7914","null","25980","null",
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","7780","null","24097","null",
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","1478","null","18487","null",
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","3315","null","29379","null",
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","9580","null","31328","null",
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","7122","null","52031","null",
