"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002EA","B15002_002M","B15002_002MA","B15002_003E","B15002_003M","B15002_003MA","B15002_003EA","B15002_004E","B15002_004M","B15002_004MA","B15002_004EA","B15002_005E","B15002_005M","B15002_005MA","B15002_005EA","B15002_006E","B15002_006EA","B15002_006M","B15002_006MA","B15002_007E","B15002_007M","B15002_007MA","B15002_007EA","B15002_008E","B15002_008EA","B15002_008M","B15002_008MA","B15002_009E","B15002_009EA","B15002_009M","B15002_009MA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011M","B15002_011MA","B15002_011EA","B15002_012E","B15002_012EA","B15002_012M","B15002_012MA","B15002_013E","B15002_013M","B15002_013MA","B15002_013EA","B15002_014E","B15002_014M","B15002_014MA","B15002_014EA","B15002_015E","B15002_015EA","B15002_015M","B15002_015MA","B15002_016E","B15002_016EA","B15002_016M","B15002_016MA","B15002_017E","B15002_017M","B15002_017MA","B15002_017EA","B15002_018E","B15002_018EA","B15002_018M","B15002_018MA","B15002_019E","B15002_019M","B15002_019MA","B15002_019EA","B15002_020E","B15002_020EA","B15002_020M","B15002_020MA","B15002_021E","B15002_021EA","B15002_021M","B15002_021MA","B15002_022E","B15002_022EA","B15002_022M","B15002_022MA","B15002_023E","B15002_023M","B15002_023MA","B15002_023EA","B15002_024E","B15002_024EA","B15002_024M","B15002_024MA","B15002_025E","B15002_025EA","B15002_025M","B15002_025MA","B15002_026E","B15002_026EA","B15002_026M","B15002_026MA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028EA","B15002_028M","B15002_028MA","B15002_029E","B15002_029M","B15002_029MA","B15002_029EA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031EA","B15002_031M","B15002_031MA","B15002_032E","B15002_032M","B15002_032MA","B15002_032EA","B15002_033E","B15002_033M","B15002_033MA","B15002_033EA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035EA","B15002_035M","B15002_035MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Male","Annotation of Estimate!!Total!!Male","Margin of Error!!Total!!Male","Annotation of Margin of Error!!Total!!Male","Estimate!!Total!!Male!!No schooling completed","Margin of Error!!Total!!Male!!No schooling completed","Annotation of Margin of Error!!Total!!Male!!No schooling completed","Annotation of Estimate!!Total!!Male!!No schooling completed","Estimate!!Total!!Male!!Nursery to 4th grade","Margin of Error!!Total!!Male!!Nursery to 4th grade","Annotation of Margin of Error!!Total!!Male!!Nursery to 4th grade","Annotation of Estimate!!Total!!Male!!Nursery to 4th grade","Estimate!!Total!!Male!!5th and 6th grade","Margin of Error!!Total!!Male!!5th and 6th grade","Annotation of Margin of Error!!Total!!Male!!5th and 6th grade","Annotation of Estimate!!Total!!Male!!5th and 6th grade","Estimate!!Total!!Male!!7th and 8th grade","Annotation of Estimate!!Total!!Male!!7th and 8th grade","Margin of Error!!Total!!Male!!7th and 8th grade","Annotation of Margin of Error!!Total!!Male!!7th and 8th grade","Estimate!!Total!!Male!!9th grade","Margin of Error!!Total!!Male!!9th grade","Annotation of Margin of Error!!Total!!Male!!9th grade","Annotation of Estimate!!Total!!Male!!9th grade","Estimate!!Total!!Male!!10th grade","Annotation of Estimate!!Total!!Male!!10th grade","Margin of Error!!Total!!Male!!10th grade","Annotation of Margin of Error!!Total!!Male!!10th grade","Estimate!!Total!!Male!!11th grade","Annotation of Estimate!!Total!!Male!!11th grade","Margin of Error!!Total!!Male!!11th grade","Annotation of Margin of Error!!Total!!Male!!11th grade","Estimate!!Total!!Male!!12th grade, no diploma","Margin of Error!!Total!!Male!!12th grade, no diploma","Annotation of Margin of Error!!Total!!Male!!12th grade, no diploma","Annotation of Estimate!!Total!!Male!!12th grade, no diploma","Estimate!!Total!!Male!!High school graduate, GED, or alternative","Margin of Error!!Total!!Male!!High school graduate, GED, or alternative","Annotation of Margin of Error!!Total!!Male!!High school graduate, GED, or alternative","Annotation of Estimate!!Total!!Male!!High school graduate, GED, or alternative","Estimate!!Total!!Male!!Some college, less than 1 year","Annotation of Estimate!!Total!!Male!!Some college, less than 1 year","Margin of Error!!Total!!Male!!Some college, less than 1 year","Annotation of Margin of Error!!Total!!Male!!Some college, less than 1 year","Estimate!!Total!!Male!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Male!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total!!Male!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total!!Male!!Some college, 1 or more years, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Annotation of Margin of Error!!Total!!Male!!Associate's degree","Annotation of Estimate!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Annotation of Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Annotation of Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Master's degree","Annotation of Estimate!!Total!!Male!!Master's degree","Margin of Error!!Total!!Male!!Master's degree","Annotation of Margin of Error!!Total!!Male!!Master's degree","Estimate!!Total!!Male!!Professional school degree","Margin of Error!!Total!!Male!!Professional school degree","Annotation of Margin of Error!!Total!!Male!!Professional school degree","Annotation of Estimate!!Total!!Male!!Professional school degree","Estimate!!Total!!Male!!Doctorate degree","Annotation of Estimate!!Total!!Male!!Doctorate degree","Margin of Error!!Total!!Male!!Doctorate degree","Annotation of Margin of Error!!Total!!Male!!Doctorate degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Annotation of Margin of Error!!Total!!Female","Annotation of Estimate!!Total!!Female","Estimate!!Total!!Female!!No schooling completed","Annotation of Estimate!!Total!!Female!!No schooling completed","Margin of Error!!Total!!Female!!No schooling completed","Annotation of Margin of Error!!Total!!Female!!No schooling completed","Estimate!!Total!!Female!!Nursery to 4th grade","Annotation of Estimate!!Total!!Female!!Nursery to 4th grade","Margin of Error!!Total!!Female!!Nursery to 4th grade","Annotation of Margin of Error!!Total!!Female!!Nursery to 4th grade","Estimate!!Total!!Female!!5th and 6th grade","Annotation of Estimate!!Total!!Female!!5th and 6th grade","Margin of Error!!Total!!Female!!5th and 6th grade","Annotation of Margin of Error!!Total!!Female!!5th and 6th grade","Estimate!!Total!!Female!!7th and 8th grade","Margin of Error!!Total!!Female!!7th and 8th grade","Annotation of Margin of Error!!Total!!Female!!7th and 8th grade","Annotation of Estimate!!Total!!Female!!7th and 8th grade","Estimate!!Total!!Female!!9th grade","Annotation of Estimate!!Total!!Female!!9th grade","Margin of Error!!Total!!Female!!9th grade","Annotation of Margin of Error!!Total!!Female!!9th grade","Estimate!!Total!!Female!!10th grade","Annotation of Estimate!!Total!!Female!!10th grade","Margin of Error!!Total!!Female!!10th grade","Annotation of Margin of Error!!Total!!Female!!10th grade","Estimate!!Total!!Female!!11th grade","Annotation of Estimate!!Total!!Female!!11th grade","Margin of Error!!Total!!Female!!11th grade","Annotation of Margin of Error!!Total!!Female!!11th grade","Estimate!!Total!!Female!!12th grade, no diploma","Margin of Error!!Total!!Female!!12th grade, no diploma","Annotation of Margin of Error!!Total!!Female!!12th grade, no diploma","Annotation of Estimate!!Total!!Female!!12th grade, no diploma","Estimate!!Total!!Female!!High school graduate, GED, or alternative","Annotation of Estimate!!Total!!Female!!High school graduate, GED, or alternative","Margin of Error!!Total!!Female!!High school graduate, GED, or alternative","Annotation of Margin of Error!!Total!!Female!!High school graduate, GED, or alternative","Estimate!!Total!!Female!!Some college, less than 1 year","Margin of Error!!Total!!Female!!Some college, less than 1 year","Annotation of Margin of Error!!Total!!Female!!Some college, less than 1 year","Annotation of Estimate!!Total!!Female!!Some college, less than 1 year","Estimate!!Total!!Female!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Female!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total!!Female!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total!!Female!!Some college, 1 or more years, no degree","Estimate!!Total!!Female!!Associate's degree","Annotation of Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Annotation of Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Annotation of Margin of Error!!Total!!Female!!Bachelor's degree","Annotation of Estimate!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Master's degree","Margin of Error!!Total!!Female!!Master's degree","Annotation of Margin of Error!!Total!!Female!!Master's degree","Annotation of Estimate!!Total!!Female!!Master's degree","Estimate!!Total!!Female!!Professional school degree","Annotation of Estimate!!Total!!Female!!Professional school degree","Margin of Error!!Total!!Female!!Professional school degree","Annotation of Margin of Error!!Total!!Female!!Professional school degree","Estimate!!Total!!Female!!Doctorate degree","Annotation of Estimate!!Total!!Female!!Doctorate degree","Margin of Error!!Total!!Female!!Doctorate degree","Annotation of Margin of Error!!Total!!Female!!Doctorate degree",
"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania","2752","400","null","null","1547","null","315","null","0","109","null","null","0","109","null","null","8","14","null","null","29","null","34","null","0","109","null","null","29","null","33","null","31","null","52","null","16","26","null","null","117","98","null","null","16","null","26","null","211","107","null","null","74","78","null","null","561","null","134","null","237","null","103","null","178","66","null","null","40","null","38","null","1205","227","null","null","13","null","22","null","0","null","109","null","8","null","14","null","21","24","null","null","0","null","109","null","30","null","48","null","0","null","109","null","0","109","null","null","57","null","53","null","13","21","null","null","72","59","null","null","17","null","28","null","511","179","null","null","313","92","null","null","88","null","53","null","62","null","43","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","1602","216","null","null","774","null","140","null","8","12","null","null","26","27","null","null","11","13","null","null","47","null","52","null","36","37","null","null","55","null","48","null","39","null","48","null","50","32","null","null","153","81","null","null","17","null","19","null","27","31","null","null","7","13","null","null","140","null","70","null","65","null","54","null","76","61","null","null","17","null","19","null","828","168","null","null","72","null","47","null","79","null","75","null","31","null","34","null","56","47","null","null","0","null","109","null","100","null","74","null","28","null","44","null","21","25","null","null","185","null","97","null","13","19","null","null","0","109","null","null","7","null","12","null","140","71","null","null","53","50","null","null","43","null","41","null","0","null","109","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","2551","313","null","null","1201","null","164","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","13","20","null","null","11","null","18","null","0","null","109","null","11","18","null","null","131","86","null","null","15","null","23","null","54","50","null","null","24","27","null","null","372","null","112","null","259","null","99","null","271","85","null","null","40","null","28","null","1350","277","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","22","null","26","null","0","null","109","null","0","null","109","null","0","109","null","null","222","null","89","null","152","232","null","null","121","71","null","null","20","null","26","null","276","108","null","null","248","82","null","null","194","null","75","null","95","null","58","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","1247","231","null","null","549","null","171","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","19","null","31","null","35","38","null","null","115","77","null","null","0","null","109","null","10","16","null","null","0","109","null","null","220","null","114","null","87","null","81","null","63","53","null","null","0","null","109","null","698","175","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","32","null","53","null","0","109","null","null","69","null","52","null","0","109","null","null","51","52","null","null","24","null","37","null","349","135","null","null","145","88","null","null","5","null","9","null","23","null","30","null",
"1400000US42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","2942","308","null","null","1099","null","247","null","0","109","null","null","0","109","null","null","0","109","null","null","14","null","21","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","170","106","null","null","40","null","38","null","131","99","null","null","62","53","null","null","349","null","160","null","120","null","78","null","144","69","null","null","69","null","50","null","1843","182","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","15","null","23","null","32","36","null","null","442","null","168","null","88","60","null","null","145","69","null","null","70","null","55","null","336","156","null","null","527","147","null","null","160","null","77","null","28","null","31","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","1325","255","null","null","890","null","262","null","16","20","null","null","0","109","null","null","45","47","null","null","119","null","96","null","18","20","null","null","25","null","19","null","16","null","20","null","41","35","null","null","202","85","null","null","70","null","51","null","86","63","null","null","8","13","null","null","77","null","66","null","93","null","89","null","62","48","null","null","12","null","19","null","435","122","null","null","0","null","109","null","0","null","109","null","0","null","109","null","9","14","null","null","0","null","109","null","18","null","16","null","14","null","15","null","13","16","null","null","78","null","58","null","0","109","null","null","22","24","null","null","27","null","34","null","100","68","null","null","106","75","null","null","48","null","40","null","0","null","109","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","803","200","null","null","501","null","210","null","0","109","null","null","0","109","null","null","51","78","null","null","0","null","109","null","0","109","null","null","12","null","20","null","0","null","109","null","0","109","null","null","75","86","null","null","0","null","109","null","11","18","null","null","12","20","null","null","120","null","69","null","129","null","108","null","78","49","null","null","13","null","22","null","302","103","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","34","null","32","null","0","109","null","null","12","19","null","null","0","null","109","null","50","40","null","null","39","63","null","null","129","null","84","null","38","null","37","null",
"1400000US42101000700","Census Tract 7, Philadelphia County, Pennsylvania","2063","264","null","null","989","null","220","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","48","null","76","null","0","null","109","null","13","21","null","null","65","57","null","null","13","null","22","null","26","31","null","null","33","30","null","null","462","null","203","null","186","null","76","null","104","64","null","null","39","null","40","null","1074","193","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","14","null","23","null","9","15","null","null","139","null","83","null","13","21","null","null","126","85","null","null","14","null","22","null","389","128","null","null","177","78","null","null","141","null","111","null","52","null","41","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","1280","179","null","null","804","null","175","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","28","null","47","null","0","109","null","null","0","109","null","null","12","null","20","null","36","47","null","null","0","109","null","null","435","null","129","null","92","null","60","null","124","68","null","null","77","null","49","null","476","110","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","16","null","26","null","0","109","null","null","16","25","null","null","0","null","109","null","241","82","null","null","77","52","null","null","35","null","38","null","91","null","58","null",
