"GEO_ID","NAME","B25077_001M","B25077_001MA","B25077_001E","B25077_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania","43024","null","354800","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","71357","null","254700","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","32250","null","456000","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","95403","null","429600","null",
"1400000US42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","88875","null","152800","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","300636","null","312500","null",
"1400000US42101000700","Census Tract 7, Philadelphia County, Pennsylvania","196772","null","220800","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","207177","null","717400","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","124957","null","521200","null",
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","30754","null","288800","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","44101","null","303400","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","161344","null","493800","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","34185","null","485500","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","94490","null","490400","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","37264","null","366200","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","39064","null","435600","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","72506","null","501100","null",
"1400000US42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","120897","null","518400","null",
"1400000US42101001300","Census Tract 13, Philadelphia County, Pennsylvania","34991","null","319500","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","59002","null","386100","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","40714","null","375700","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","107470","null","493400","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","36584","null","391300","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","46624","null","367600","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","48415","null","326700","null",
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","36098","null","94600","null",
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","43899","null","107500","null",
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","35873","null","137700","null",
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","38071","null","223100","null",
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","14086","null","237200","null",
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","19463","null","272100","null",
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","17294","null","224300","null",
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","21098","null","219700","null",
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","40974","null","154200","null",
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","16827","null","199100","null",
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","12056","null","226000","null",
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","11414","null","104100","null",
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","42188","null","115200","null",
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","9180","null","76100","null",
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","8439","null","60200","null",
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","19190","null","76700","null",
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","10597","null","118900","null",
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","11432","null","66200","null",
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","15279","null","100800","null",
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","18397","null","206300","null",
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","31182","null","137100","null",
"1400000US42101003902","Census Tract 39.02, Philadelphia County, Pennsylvania","8627","null","205400","null",
"1400000US42101004001","Census Tract 40.01, Philadelphia County, Pennsylvania","11901","null","172100","null",
"1400000US42101004002","Census Tract 40.02, Philadelphia County, Pennsylvania","11053","null","174500","null",
"1400000US42101004101","Census Tract 41.01, Philadelphia County, Pennsylvania","8550","null","90900","null",
"1400000US42101004102","Census Tract 41.02, Philadelphia County, Pennsylvania","12446","null","119300","null",
"1400000US42101004201","Census Tract 42.01, Philadelphia County, Pennsylvania","6071","null","164900","null",
"1400000US42101004202","Census Tract 42.02, Philadelphia County, Pennsylvania","17384","null","127600","null",
"1400000US42101005000","Census Tract 50, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101005400","Census Tract 54, Philadelphia County, Pennsylvania","47245","null","181000","null",
"1400000US42101005500","Census Tract 55, Philadelphia County, Pennsylvania","12189","null","137300","null",
"1400000US42101005600","Census Tract 56, Philadelphia County, Pennsylvania","81942","null","186100","null",
"1400000US42101006000","Census Tract 60, Philadelphia County, Pennsylvania","21259","null","106000","null",
"1400000US42101006100","Census Tract 61, Philadelphia County, Pennsylvania","12967","null","92000","null",
"1400000US42101006200","Census Tract 62, Philadelphia County, Pennsylvania","4941","null","90100","null",
"1400000US42101006300","Census Tract 63, Philadelphia County, Pennsylvania","5294","null","84800","null",
"1400000US42101006400","Census Tract 64, Philadelphia County, Pennsylvania","7720","null","87800","null",
"1400000US42101006500","Census Tract 65, Philadelphia County, Pennsylvania","10940","null","74100","null",
"1400000US42101006600","Census Tract 66, Philadelphia County, Pennsylvania","16130","null","82500","null",
"1400000US42101006700","Census Tract 67, Philadelphia County, Pennsylvania","15047","null","77000","null",
"1400000US42101006900","Census Tract 69, Philadelphia County, Pennsylvania","6906","null","61100","null",
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","9674","null","55400","null",
"1400000US42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","16651","null","59400","null",
"1400000US42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","10874","null","65900","null",
"1400000US42101007200","Census Tract 72, Philadelphia County, Pennsylvania","4768","null","60800","null",
"1400000US42101007300","Census Tract 73, Philadelphia County, Pennsylvania","13721","null","74900","null",
"1400000US42101007400","Census Tract 74, Philadelphia County, Pennsylvania","7535","null","61700","null",
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","122866","null","79300","null",
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","38925","null","370200","null",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","53914","null","332400","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","13165","null","96700","null",
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","15542","null","72000","null",
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","5010","null","75300","null",
