"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_001MA","B25003_001EA","B25003_002E","B25003_002M","B25003_002MA","B25003_002EA","B25003_003E","B25003_003EA","B25003_003M","B25003_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Annotation of Margin of Error!!Total!!Owner occupied","Annotation of Estimate!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Annotation of Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Annotation of Margin of Error!!Total!!Renter occupied",
"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania","2033","204","null","null","843","150","null","null","1190","null","212","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","1005","96","null","null","482","92","null","null","523","null","111","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","1832","123","null","null","551","96","null","null","1281","null","133","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","1169","175","null","null","165","102","null","null","1004","null","188","null",
"1400000US42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","2295","151","null","null","1242","165","null","null","1053","null","155","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","636","81","null","null","11","18","null","null","625","null","84","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","653","98","null","null","21","25","null","null","632","null","102","null",
"1400000US42101000700","Census Tract 7, Philadelphia County, Pennsylvania","1943","167","null","null","478","120","null","null","1465","null","180","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","1016","93","null","null","278","69","null","null","738","null","105","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","2569","195","null","null","1115","178","null","null","1454","null","243","null",
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","2075","249","null","null","445","119","null","null","1630","null","247","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","1312","143","null","null","247","108","null","null","1065","null","170","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","1300","170","null","null","165","53","null","null","1135","null","175","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","1424","136","null","null","985","113","null","null","439","null","119","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","1827","146","null","null","1053","149","null","null","774","null","163","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","2099","123","null","null","692","134","null","null","1407","null","150","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","1406","168","null","null","555","124","null","null","851","null","152","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","1767","234","null","null","800","138","null","null","967","null","224","null",
"1400000US42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","2743","200","null","null","797","133","null","null","1946","null","202","null",
"1400000US42101001300","Census Tract 13, Philadelphia County, Pennsylvania","2318","189","null","null","1475","208","null","null","843","null","166","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","1971","197","null","null","810","155","null","null","1161","null","188","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","1247","96","null","null","645","108","null","null","602","null","102","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","1083","126","null","null","457","101","null","null","626","null","128","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","1435","90","null","null","901","125","null","null","534","null","144","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","1342","103","null","null","724","113","null","null","618","null","110","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","1005","111","null","null","534","97","null","null","471","null","113","null",
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","786","118","null","null","466","86","null","null","320","null","118","null",
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","880","103","null","null","478","96","null","null","402","null","114","null",
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","874","146","null","null","296","113","null","null","578","null","157","null",
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","1170","79","null","null","601","90","null","null","569","null","114","null",
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","1944","186","null","null","896","127","null","null","1048","null","194","null",
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","1599","92","null","null","617","81","null","null","982","null","114","null",
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","1619","132","null","null","518","108","null","null","1101","null","155","null",
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","1450","148","null","null","987","114","null","null","463","null","140","null",
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","1507","122","null","null","762","108","null","null","745","null","162","null",
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","1910","184","null","null","1239","168","null","null","671","null","170","null",
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","1947","128","null","null","1220","106","null","null","727","null","157","null",
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","1501","136","null","null","934","109","null","null","567","null","136","null",
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","1201","135","null","null","589","137","null","null","612","null","167","null",
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","1856","212","null","null","1094","241","null","null","762","null","223","null",
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","1828","185","null","null","1085","204","null","null","743","null","222","null",
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","2281","203","null","null","960","190","null","null","1321","null","242","null",
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","2752","179","null","null","1186","200","null","null","1566","null","206","null",
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","2283","186","null","null","1072","166","null","null","1211","null","217","null",
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","1298","115","null","null","855","140","null","null","443","null","113","null",
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","1677","27","null","null","1346","81","null","null","331","null","79","null",
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","2438","179","null","null","1437","211","null","null","1001","null","215","null",
"1400000US42101003902","Census Tract 39.02, Philadelphia County, Pennsylvania","2268","138","null","null","1996","171","null","null","272","null","115","null",
"1400000US42101004001","Census Tract 40.01, Philadelphia County, Pennsylvania","1898","107","null","null","1321","148","null","null","577","null","150","null",
"1400000US42101004002","Census Tract 40.02, Philadelphia County, Pennsylvania","2088","127","null","null","1595","185","null","null","493","null","148","null",
"1400000US42101004101","Census Tract 41.01, Philadelphia County, Pennsylvania","1861","206","null","null","851","184","null","null","1010","null","206","null",
"1400000US42101004102","Census Tract 41.02, Philadelphia County, Pennsylvania","2454","179","null","null","1265","155","null","null","1189","null","208","null",
"1400000US42101004201","Census Tract 42.01, Philadelphia County, Pennsylvania","2044","154","null","null","1465","151","null","null","579","null","158","null",
"1400000US42101004202","Census Tract 42.02, Philadelphia County, Pennsylvania","1719","93","null","null","1366","133","null","null","353","null","105","null",
"1400000US42101005000","Census Tract 50, Philadelphia County, Pennsylvania","0","109","null","null","0","109","null","null","0","null","109","null",
"1400000US42101005400","Census Tract 54, Philadelphia County, Pennsylvania","654","62","null","null","271","75","null","null","383","null","91","null",
"1400000US42101005500","Census Tract 55, Philadelphia County, Pennsylvania","2384","149","null","null","1722","193","null","null","662","null","191","null",
"1400000US42101005600","Census Tract 56, Philadelphia County, Pennsylvania","481","99","null","null","56","51","null","null","425","null","103","null",
"1400000US42101006000","Census Tract 60, Philadelphia County, Pennsylvania","2411","198","null","null","1728","229","null","null","683","null","178","null",
"1400000US42101006100","Census Tract 61, Philadelphia County, Pennsylvania","1154","86","null","null","938","122","null","null","216","null","123","null",
"1400000US42101006200","Census Tract 62, Philadelphia County, Pennsylvania","1364","95","null","null","922","138","null","null","442","null","115","null",
"1400000US42101006300","Census Tract 63, Philadelphia County, Pennsylvania","1218","127","null","null","530","116","null","null","688","null","141","null",
"1400000US42101006400","Census Tract 64, Philadelphia County, Pennsylvania","1419","117","null","null","783","145","null","null","636","null","153","null",
"1400000US42101006500","Census Tract 65, Philadelphia County, Pennsylvania","1728","147","null","null","1007","133","null","null","721","null","147","null",
"1400000US42101006600","Census Tract 66, Philadelphia County, Pennsylvania","1430","106","null","null","376","115","null","null","1054","null","129","null",
"1400000US42101006700","Census Tract 67, Philadelphia County, Pennsylvania","2322","187","null","null","1060","186","null","null","1262","null","232","null",
"1400000US42101006900","Census Tract 69, Philadelphia County, Pennsylvania","1020","97","null","null","246","64","null","null","774","null","122","null",
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","1574","114","null","null","899","121","null","null","675","null","143","null",
