"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"Geography","Geographic Area Name","Estimate!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median family income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","175515","57906","null","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","176071","73037","null","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","71600","25928","null","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","171364","41118","null","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","100250","74967","null","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","250,000+","***","***","250,000+",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","144118","69874","null","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","110568","39402","null","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","195581","99111","null","null",
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","200208","148528","null","null",
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","148821","13224","null","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","250,000+","***","***","250,000+",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","79338","69874","null","null",
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","179583","91010","null","null",
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","159746","31815","null","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","110656","25365","null","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","206250","94298","null","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","191827","53662","null","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","175286","38619","null","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","97614","62500","null","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","204286","99014","null","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","170324","18895","null","null",
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","226591","89806","null","null",
"1400000US42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","169167","28385","null","null",
"1400000US42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","201364","8969","null","null",
"1400000US42101001302","Census Tract 13.02, Philadelphia County, Pennsylvania","136574","28556","null","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","204205","66097","null","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","158527","43386","null","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","235547","64193","null","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","201023","75173","null","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","161346","36753","null","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","126000","22051","null","null",
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","49615","20294","null","null",
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","83083","42618","null","null",
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","37319","9722","null","null",
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","81563","27961","null","null",
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","128450","54858","null","null",
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","80694","37516","null","null",
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","96556","42049","null","null",
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","101406","14236","null","null",
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","57610","14274","null","null",
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","68223","8192","null","null",
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","108023","29679","null","null",
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","59583","32067","null","null",
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","83962","21966","null","null",
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","70393","24014","null","null",
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","47833","7998","null","null",
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","35953","13539","null","null",
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","48591","17476","null","null",
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","48547","23413","null","null",
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","47895","9845","null","null",
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","90972","33359","null","null",
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","70543","26048","null","null",
"1400000US42101003902","Census Tract 39.02, Philadelphia County, Pennsylvania","70895","7386","null","null",
"1400000US42101004001","Census Tract 40.01, Philadelphia County, Pennsylvania","49603","15389","null","null",
"1400000US42101004002","Census Tract 40.02, Philadelphia County, Pennsylvania","94125","19830","null","null",
"1400000US42101004101","Census Tract 41.01, Philadelphia County, Pennsylvania","81099","10768","null","null",
"1400000US42101004103","Census Tract 41.03, Philadelphia County, Pennsylvania","39423","37767","null","null",
"1400000US42101004104","Census Tract 41.04, Philadelphia County, Pennsylvania","60333","17241","null","null",
"1400000US42101004201","Census Tract 42.01, Philadelphia County, Pennsylvania","59801","19056","null","null",
"1400000US42101004202","Census Tract 42.02, Philadelphia County, Pennsylvania","61636","13490","null","null",
"1400000US42101005400","Census Tract 54, Philadelphia County, Pennsylvania","71161","24077","null","null",
"1400000US42101005500","Census Tract 55, Philadelphia County, Pennsylvania","63033","9655","null","null",
"1400000US42101005600","Census Tract 56, Philadelphia County, Pennsylvania","36250","16187","null","null",
"1400000US42101006000","Census Tract 60, Philadelphia County, Pennsylvania","44199","22413","null","null",
"1400000US42101006100","Census Tract 61, Philadelphia County, Pennsylvania","38864","11568","null","null",
"1400000US42101006200","Census Tract 62, Philadelphia County, Pennsylvania","34474","10476","null","null",
"1400000US42101006300","Census Tract 63, Philadelphia County, Pennsylvania","38653","5180","null","null",
"1400000US42101006400","Census Tract 64, Philadelphia County, Pennsylvania","39375","14358","null","null",
"1400000US42101006500","Census Tract 65, Philadelphia County, Pennsylvania","47961","12567","null","null",
"1400000US42101006600","Census Tract 66, Philadelphia County, Pennsylvania","34211","12899","null","null",
"1400000US42101006700","Census Tract 67, Philadelphia County, Pennsylvania","47790","15746","null","null",
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","41964","18263","null","null",
"1400000US42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","35731","4140","null","null",
"1400000US42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","41825","8786","null","null",
"1400000US42101007200","Census Tract 72, Philadelphia County, Pennsylvania","40278","22525","null","null",
"1400000US42101007300","Census Tract 73, Philadelphia County, Pennsylvania","53864","51389","null","null",
"1400000US42101007400","Census Tract 74, Philadelphia County, Pennsylvania","50769","9841","null","null",
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","60735","10836","null","null",
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","99539","41849","null","null",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","127583","21682","null","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","74583","30005","null","null",
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","48971","17288","null","null",
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","46103","3689","null","null",
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","32485","6796","null","null",
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","51840","23545","null","null",
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","38899","11538","null","null",
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","44464","8839","null","null",
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","40204","8601","null","null",
"1400000US42101008601","Census Tract 86.01, Philadelphia County, Pennsylvania","69174","21344","null","null",
"1400000US42101008602","Census Tract 86.02, Philadelphia County, Pennsylvania","65394","45781","null","null",
"1400000US42101008701","Census Tract 87.01, Philadelphia County, Pennsylvania","105565","45320","null","null",
"1400000US42101008702","Census Tract 87.02, Philadelphia County, Pennsylvania","107700","40102","null","null",
"1400000US42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania","52250","49676","null","null",
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","16521","677","null","null",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","-","**","**","-",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","85500","66130","null","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","34850","22244","null","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","35774","11297","null","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","29036","6648","null","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","42171","18397","null","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","43014","21188","null","null",
"1400000US42101009801","Census Tract 98.01, Philadelphia County, Pennsylvania","64556","10012","null","null",
"1400000US42101009802","Census Tract 98.02, Philadelphia County, Pennsylvania","56802","31709","null","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","79603","4346","null","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","53252","5456","null","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","45128","10410","null","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","41125","13794","null","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","2,500-","***","***","2,500-",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","43333","6319","null","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","26406","10880","null","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","43484","5993","null","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","27734","4215","null","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","29924","4820","null","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","15417","9016","null","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","50321","15799","null","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","33750","15919","null","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","37770","28291","null","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","45909","42424","null","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","71125","9889","null","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","110833","73768","null","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","31857","18515","null","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","67292","17689","null","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","108500","24742","null","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","47778","5288","null","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","67446","32417","null","null",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","83125","80706","null","null",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","62140","18902","null","null",
"1400000US42101012501","Census Tract 125.01, Philadelphia County, Pennsylvania","120965","47217","null","null",
"1400000US42101012502","Census Tract 125.02, Philadelphia County, Pennsylvania","151827","66573","null","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","30714","19000","null","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","38235","7893","null","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","104931","58220","null","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","162386","44877","null","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","149766","39994","null","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","161951","28794","null","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","165707","15185","null","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","123828","24680","null","null",
"1400000US42101013701","Census Tract 137.01, Philadelphia County, Pennsylvania","119375","70736","null","null",
"1400000US42101013702","Census Tract 137.02, Philadelphia County, Pennsylvania","-","**","**","-",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","50993","14087","null","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","45691","9382","null","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","52188","28002","null","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","54079","16453","null","null",
"1400000US42101014201","Census Tract 142.01, Philadelphia County, Pennsylvania","145039","57713","null","null",
"1400000US42101014202","Census Tract 142.02, Philadelphia County, Pennsylvania","117500","72291","null","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","117946","27036","null","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","110169","38670","null","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","40701","13882","null","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","59286","18178","null","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","24688","20758","null","null",
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","23125","17423","null","null",
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","-","**","**","-",
"1400000US42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania","38750","6707","null","null",
"1400000US42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania","35328","17407","null","null",
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","55462","43673","null","null",
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","51859","23447","null","null",
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","38977","11336","null","null",
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","63438","29704","null","null",
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","119755","22143","null","null",
"1400000US42101016001","Census Tract 160.01, Philadelphia County, Pennsylvania","83810","31373","null","null",
"1400000US42101016002","Census Tract 160.02, Philadelphia County, Pennsylvania","89400","18166","null","null",
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","85743","20147","null","null",
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","47500","28355","null","null",
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","31288","13087","null","null",
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","35625","25548","null","null",
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","-","**","**","-",
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","33090","15035","null","null",
"1400000US42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania","43730","14496","null","null",
"1400000US42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania","34469","15100","null","null",
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","33803","26437","null","null",
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","50838","10457","null","null",
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","20707","12216","null","null",
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","74954","49474","null","null",
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","51327","4741","null","null",
"1400000US42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania","61339","5789","null","null",
"1400000US42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania","43917","15381","null","null",
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","36563","20992","null","null",
