"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","104458","null","18174","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","104236","null","39859","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","83854","null","48519","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","84843","null","13483","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","73438","null","18084","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","208824","null","133693","null",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","80774","null","10363","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","54750","null","15413","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","86786","null","19653","null",
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","83357","null","28879","null",
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","49833","null","11224","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","118750","null","43780","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","71905","null","20364","null",
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","78438","null","24166","null",
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","157889","null","64287","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","46786","null","11102","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","61312","null","6865","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","117557","null","42146","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","115132","null","31869","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","60371","null","16164","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","105368","null","34715","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","106902","null","25190","null",
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","95900","null","33717","null",
"1400000US42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","82976","null","16946","null",
"1400000US42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","150903","null","49545","null",
"1400000US42101001302","Census Tract 13.02, Philadelphia County, Pennsylvania","104797","null","8721","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","95430","null","23296","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","72596","null","18244","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","116250","null","48533","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","115476","null","27544","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","94688","null","34215","null",
