"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002M","B15002_002MA","B15002_002EA","B15002_003E","B15002_003EA","B15002_003M","B15002_003MA","B15002_004E","B15002_004EA","B15002_004M","B15002_004MA","B15002_005E","B15002_005M","B15002_005MA","B15002_005EA","B15002_006E","B15002_006EA","B15002_006M","B15002_006MA","B15002_007E","B15002_007M","B15002_007MA","B15002_007EA","B15002_008E","B15002_008M","B15002_008MA","B15002_008EA","B15002_009E","B15002_009M","B15002_009MA","B15002_009EA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011M","B15002_011MA","B15002_011EA","B15002_012E","B15002_012M","B15002_012MA","B15002_012EA","B15002_013E","B15002_013EA","B15002_013M","B15002_013MA","B15002_014E","B15002_014EA","B15002_014M","B15002_014MA","B15002_015E","B15002_015M","B15002_015MA","B15002_015EA","B15002_016E","B15002_016M","B15002_016MA","B15002_016EA","B15002_017E","B15002_017M","B15002_017MA","B15002_017EA","B15002_018E","B15002_018M","B15002_018MA","B15002_018EA","B15002_019E","B15002_019M","B15002_019MA","B15002_019EA","B15002_020E","B15002_020M","B15002_020MA","B15002_020EA","B15002_021E","B15002_021M","B15002_021MA","B15002_021EA","B15002_022E","B15002_022M","B15002_022MA","B15002_022EA","B15002_023E","B15002_023M","B15002_023MA","B15002_023EA","B15002_024E","B15002_024M","B15002_024MA","B15002_024EA","B15002_025E","B15002_025M","B15002_025MA","B15002_025EA","B15002_026E","B15002_026M","B15002_026MA","B15002_026EA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028M","B15002_028MA","B15002_028EA","B15002_029E","B15002_029M","B15002_029MA","B15002_029EA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031M","B15002_031MA","B15002_031EA","B15002_032E","B15002_032M","B15002_032MA","B15002_032EA","B15002_033E","B15002_033EA","B15002_033M","B15002_033MA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035M","B15002_035MA","B15002_035EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!No schooling completed","Annotation of Estimate!!Total:!!Male:!!No schooling completed","Margin of Error!!Total:!!Male:!!No schooling completed","Annotation of Margin of Error!!Total:!!Male:!!No schooling completed","Estimate!!Total:!!Male:!!Nursery to 4th grade","Annotation of Estimate!!Total:!!Male:!!Nursery to 4th grade","Margin of Error!!Total:!!Male:!!Nursery to 4th grade","Annotation of Margin of Error!!Total:!!Male:!!Nursery to 4th grade","Estimate!!Total:!!Male:!!5th and 6th grade","Margin of Error!!Total:!!Male:!!5th and 6th grade","Annotation of Margin of Error!!Total:!!Male:!!5th and 6th grade","Annotation of Estimate!!Total:!!Male:!!5th and 6th grade","Estimate!!Total:!!Male:!!7th and 8th grade","Annotation of Estimate!!Total:!!Male:!!7th and 8th grade","Margin of Error!!Total:!!Male:!!7th and 8th grade","Annotation of Margin of Error!!Total:!!Male:!!7th and 8th grade","Estimate!!Total:!!Male:!!9th grade","Margin of Error!!Total:!!Male:!!9th grade","Annotation of Margin of Error!!Total:!!Male:!!9th grade","Annotation of Estimate!!Total:!!Male:!!9th grade","Estimate!!Total:!!Male:!!10th grade","Margin of Error!!Total:!!Male:!!10th grade","Annotation of Margin of Error!!Total:!!Male:!!10th grade","Annotation of Estimate!!Total:!!Male:!!10th grade","Estimate!!Total:!!Male:!!11th grade","Margin of Error!!Total:!!Male:!!11th grade","Annotation of Margin of Error!!Total:!!Male:!!11th grade","Annotation of Estimate!!Total:!!Male:!!11th grade","Estimate!!Total:!!Male:!!12th grade, no diploma","Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Male:!!12th grade, no diploma","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college, less than 1 year","Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Male:!!Some college, less than 1 year","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Male:!!Associate's degree","Annotation of Estimate!!Total:!!Male:!!Associate's degree","Margin of Error!!Total:!!Male:!!Associate's degree","Annotation of Margin of Error!!Total:!!Male:!!Associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Male:!!Bachelor's degree","Annotation of Estimate!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Master's degree","Margin of Error!!Total:!!Male:!!Master's degree","Annotation of Margin of Error!!Total:!!Male:!!Master's degree","Annotation of Estimate!!Total:!!Male:!!Master's degree","Estimate!!Total:!!Male:!!Professional school degree","Margin of Error!!Total:!!Male:!!Professional school degree","Annotation of Margin of Error!!Total:!!Male:!!Professional school degree","Annotation of Estimate!!Total:!!Male:!!Professional school degree","Estimate!!Total:!!Male:!!Doctorate degree","Margin of Error!!Total:!!Male:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Male:!!Doctorate degree","Annotation of Estimate!!Total:!!Male:!!Doctorate degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!No schooling completed","Margin of Error!!Total:!!Female:!!No schooling completed","Annotation of Margin of Error!!Total:!!Female:!!No schooling completed","Annotation of Estimate!!Total:!!Female:!!No schooling completed","Estimate!!Total:!!Female:!!Nursery to 4th grade","Margin of Error!!Total:!!Female:!!Nursery to 4th grade","Annotation of Margin of Error!!Total:!!Female:!!Nursery to 4th grade","Annotation of Estimate!!Total:!!Female:!!Nursery to 4th grade","Estimate!!Total:!!Female:!!5th and 6th grade","Margin of Error!!Total:!!Female:!!5th and 6th grade","Annotation of Margin of Error!!Total:!!Female:!!5th and 6th grade","Annotation of Estimate!!Total:!!Female:!!5th and 6th grade","Estimate!!Total:!!Female:!!7th and 8th grade","Margin of Error!!Total:!!Female:!!7th and 8th grade","Annotation of Margin of Error!!Total:!!Female:!!7th and 8th grade","Annotation of Estimate!!Total:!!Female:!!7th and 8th grade","Estimate!!Total:!!Female:!!9th grade","Margin of Error!!Total:!!Female:!!9th grade","Annotation of Margin of Error!!Total:!!Female:!!9th grade","Annotation of Estimate!!Total:!!Female:!!9th grade","Estimate!!Total:!!Female:!!10th grade","Margin of Error!!Total:!!Female:!!10th grade","Annotation of Margin of Error!!Total:!!Female:!!10th grade","Annotation of Estimate!!Total:!!Female:!!10th grade","Estimate!!Total:!!Female:!!11th grade","Margin of Error!!Total:!!Female:!!11th grade","Annotation of Margin of Error!!Total:!!Female:!!11th grade","Annotation of Estimate!!Total:!!Female:!!11th grade","Estimate!!Total:!!Female:!!12th grade, no diploma","Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Female:!!12th grade, no diploma","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college, less than 1 year","Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Female:!!Some college, less than 1 year","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Female:!!Associate's degree","Margin of Error!!Total:!!Female:!!Associate's degree","Annotation of Margin of Error!!Total:!!Female:!!Associate's degree","Annotation of Estimate!!Total:!!Female:!!Associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree","Annotation of Estimate!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Master's degree","Annotation of Estimate!!Total:!!Female:!!Master's degree","Margin of Error!!Total:!!Female:!!Master's degree","Annotation of Margin of Error!!Total:!!Female:!!Master's degree","Estimate!!Total:!!Female:!!Professional school degree","Annotation of Estimate!!Total:!!Female:!!Professional school degree","Margin of Error!!Total:!!Female:!!Professional school degree","Annotation of Margin of Error!!Total:!!Female:!!Professional school degree","Estimate!!Total:!!Female:!!Doctorate degree","Margin of Error!!Total:!!Female:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Female:!!Doctorate degree","Annotation of Estimate!!Total:!!Female:!!Doctorate degree",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","1708","278","null","null","650","171","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","14","23","null","null","0","11","null","null","81","null","95","null","0","null","11","null","342","114","null","null","101","63","null","null","66","65","null","null","46","41","null","null","1058","206","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","14","23","null","null","14","22","null","null","0","11","null","null","0","11","null","null","6","10","null","null","0","11","null","null","14","23","null","null","0","11","null","null","390","149","null","null","373","null","159","null","158","null","105","null","89","52","null","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","2549","364","null","null","1390","268","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","31","52","null","null","0","11","null","null","130","131","null","null","64","60","null","null","17","null","29","null","9","null","14","null","566","187","null","null","235","104","null","null","227","118","null","null","111","104","null","null","1159","209","null","null","0","11","null","null","0","11","null","null","0","11","null","null","49","79","null","null","18","30","null","null","0","11","null","null","0","11","null","null","0","11","null","null","77","81","null","null","17","27","null","null","43","42","null","null","9","13","null","null","574","171","null","null","246","null","97","null","77","null","64","null","49","37","null","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","2526","544","null","null","1402","493","null","null","48","null","34","null","0","null","11","null","9","15","null","null","17","null","30","null","89","65","null","null","6","14","null","null","12","29","null","null","78","59","null","null","183","146","null","null","0","11","null","null","44","null","32","null","110","null","87","null","627","473","null","null","49","39","null","null","47","26","null","null","83","60","null","null","1124","268","null","null","94","52","null","null","0","11","null","null","40","58","null","null","10","20","null","null","141","118","null","null","0","11","null","null","0","11","null","null","8","12","null","null","165","108","null","null","37","57","null","null","133","87","null","null","33","41","null","null","310","129","null","null","77","null","67","null","36","null","32","null","40","36","null","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","2924","476","null","null","1199","166","null","null","0","null","11","null","0","null","11","null","9","19","null","null","0","null","11","null","11","23","null","null","0","11","null","null","0","11","null","null","0","11","null","null","37","29","null","null","4","7","null","null","104","null","60","null","27","null","26","null","430","99","null","null","152","57","null","null","289","111","null","null","136","69","null","null","1725","464","null","null","0","11","null","null","0","11","null","null","0","11","null","null","10","22","null","null","25","39","null","null","18","24","null","null","14","25","null","null","3","7","null","null","90","48","null","null","17","20","null","null","118","63","null","null","35","29","null","null","855","418","null","null","172","null","68","null","266","null","137","null","102","59","null","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","2297","460","null","null","1025","196","null","null","0","null","11","null","0","null","11","null","17","19","null","null","0","null","11","null","0","11","null","null","10","21","null","null","0","11","null","null","27","42","null","null","36","45","null","null","9","14","null","null","46","null","32","null","0","null","11","null","533","186","null","null","107","46","null","null","165","76","null","null","75","45","null","null","1272","372","null","null","9","14","null","null","0","11","null","null","9","14","null","null","18","19","null","null","0","11","null","null","0","11","null","null","10","14","null","null","4","11","null","null","68","48","null","null","12","16","null","null","99","69","null","null","44","42","null","null","447","186","null","null","389","null","287","null","103","null","46","null","60","42","null","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","745","343","null","null","391","213","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","21","null","37","null","28","null","47","null","233","162","null","null","63","69","null","null","46","42","null","null","0","11","null","null","354","197","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","23","38","null","null","0","11","null","null","0","11","null","null","26","33","null","null","111","157","null","null","143","null","104","null","51","null","43","null","0","11","null","null",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","3234","272","null","null","1406","208","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","24","37","null","null","0","11","null","null","0","11","null","null","53","43","null","null","118","60","null","null","164","null","68","null","32","null","37","null","547","151","null","null","287","118","null","null","127","72","null","null","54","44","null","null","1828","212","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","7","13","null","null","0","11","null","null","0","11","null","null","0","11","null","null","249","131","null","null","55","58","null","null","158","46","null","null","7","14","null","null","654","166","null","null","514","null","146","null","85","null","59","null","99","83","null","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","2424","437","null","null","1498","367","null","null","19","null","34","null","0","null","11","null","0","11","null","null","0","null","11","null","18","34","null","null","28","33","null","null","124","77","null","null","69","81","null","null","476","205","null","null","103","100","null","null","104","null","58","null","10","null","17","null","253","104","null","null","119","55","null","null","125","72","null","null","50","41","null","null","926","166","null","null","13","12","null","null","0","11","null","null","4","7","null","null","0","11","null","null","11","15","null","null","19","43","null","null","40","58","null","null","49","57","null","null","202","100","null","null","32","41","null","null","67","48","null","null","17","19","null","null","215","103","null","null","132","null","77","null","88","null","38","null","37","24","null","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","1145","208","null","null","487","132","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","1","2","null","null","0","11","null","null","0","11","null","null","22","22","null","null","0","11","null","null","15","null","23","null","0","null","11","null","281","98","null","null","72","90","null","null","65","37","null","null","31","31","null","null","658","145","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","10","20","null","null","0","11","null","null","0","11","null","null","38","33","null","null","15","25","null","null","30","21","null","null","0","11","null","null","164","75","null","null","223","null","82","null","148","null","69","null","30","33","null","null",
