"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","414000","null","93462","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","456900","null","98400","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","448100","null","190300","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","627900","null","75611","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","583900","null","145592","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","838200","null","88693","null",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","335300","null","19811","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","372700","null","74886","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","687500","null","284367","null",
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","319700","null","70610","null",
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","225000","null","98497","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","751600","null","302286","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","742900","null","288822","null",
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","765800","null","221546","null",
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","515900","null","234646","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","452500","null","277126","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","898300","null","260311","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","563900","null","107729","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","645600","null","119976","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","412000","null","54866","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","591600","null","64598","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","689700","null","74680","null",
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","1114900","null","548383","null",
