"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Estimate!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","1879","null","311","null","1656","null","302","null","1348","null","276","null","98","111","null","null","0","null","11","null","196","null","131","null","0","11","null","null","0","null","11","null","14","null","23","null","0","null","11","null","14","null","23","null","223","186","null","null","212","null","190","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","11","null","20","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","2988","null","446","null","2850","null","442","null","2533","null","431","null","184","182","null","null","0","null","11","null","58","null","63","null","0","11","null","null","0","null","11","null","75","null","85","null","0","null","11","null","75","null","85","null","138","84","null","null","107","null","69","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","31","null","52","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","3175","null","620","null","2907","null","666","null","796","null","450","null","170","99","null","null","0","null","11","null","1898","null","510","null","0","11","null","null","0","null","11","null","43","null","75","null","0","null","11","null","43","null","75","null","268","179","null","null","106","null","80","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","50","null","104","null","112","null","120","null","35","50","null","null","77","77","null","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","3586","null","514","null","3410","null","518","null","2073","null","279","null","182","90","null","null","0","null","11","null","581","null","203","null","20","26","null","null","19","null","28","null","535","null","446","null","10","null","16","null","525","null","446","null","176","102","null","null","134","null","81","null","18","null","29","null","6","null","12","null","0","11","null","null","0","null","11","null","12","null","19","null","6","null","10","null","0","11","null","null","6","10","null","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","2577","null","464","null","2476","null","463","null","1524","null","316","null","396","283","null","null","0","null","11","null","478","null","162","null","0","11","null","null","0","null","11","null","78","null","45","null","0","null","11","null","78","null","45","null","101","41","null","null","56","null","50","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","45","null","45","null","36","43","null","null","9","14","null","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","775","null","343","null","702","null","342","null","624","null","337","null","28","47","null","null","0","null","11","null","50","null","63","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","73","95","null","null","73","null","95","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","3383","null","293","null","3346","null","292","null","2777","null","304","null","177","98","null","null","0","null","11","null","350","null","149","null","0","11","null","null","0","null","11","null","42","null","68","null","0","null","11","null","42","null","68","null","37","32","null","null","37","null","32","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","2826","null","446","null","2458","null","389","null","966","null","195","null","830","280","null","null","40","null","48","null","384","null","134","null","0","11","null","null","0","null","11","null","238","null","121","null","27","null","34","null","211","null","116","null","368","155","null","null","285","null","121","null","35","null","39","null","0","null","11","null","0","11","null","null","0","null","11","null","48","null","51","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","1312","null","237","null","1209","null","220","null","923","null","204","null","122","74","null","null","0","null","11","null","164","null","102","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","103","66","null","null","80","null","59","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","23","null","34","null","23","34","null","null","0","11","null","null",
