"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_001MA","B25003_001EA","B25003_002E","B25003_002M","B25003_002MA","B25003_002EA","B25003_003E","B25003_003M","B25003_003MA","B25003_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Annotation of Margin of Error!!Total:!!Owner occupied","Annotation of Estimate!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","Annotation of Margin of Error!!Total:!!Renter occupied","Annotation of Estimate!!Total:!!Renter occupied",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","1258","186","null","null","401","158","null","null","857","172","null","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","1837","291","null","null","686","166","null","null","1151","309","null","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","1439","447","null","null","851","456","null","null","588","143","null","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","2057","443","null","null","386","76","null","null","1671","440","null","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","1735","336","null","null","550","171","null","null","1185","321","null","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","530","192","null","null","312","193","null","null","218","105","null","null",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","2309","192","null","null","1125","156","null","null","1184","217","null","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","1015","142","null","null","66","38","null","null","949","141","null","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","868","155","null","null","36","23","null","null","832","155","null","null",
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","1276","240","null","null","278","109","null","null","998","250","null","null",
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","1483","445","null","null","260","89","null","null","1223","435","null","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","868","185","null","null","263","67","null","null","605","188","null","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","1822","288","null","null","670","171","null","null","1152","252","null","null",
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","1890","336","null","null","397","131","null","null","1493","359","null","null",
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","1479","172","null","null","361","111","null","null","1118","191","null","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","1464","214","null","null","55","39","null","null","1409","212","null","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","1429","157","null","null","233","70","null","null","1196","163","null","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","1619","277","null","null","1086","205","null","null","533","234","null","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","1800","204","null","null","1142","177","null","null","658","134","null","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","2131","328","null","null","687","105","null","null","1444","340","null","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","1467","220","null","null","679","207","null","null","788","111","null","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","2019","281","null","null","946","164","null","null","1073","265","null","null",
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","1070","181","null","null","278","110","null","null","792","174","null","null",
"1400000US42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","1796","172","null","null","553","106","null","null","1243","146","null","null",
"1400000US42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","703","182","null","null","429","185","null","null","274","115","null","null",
"1400000US42101001302","Census Tract 13.02, Philadelphia County, Pennsylvania","2039","224","null","null","1194","243","null","null","845","188","null","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","2089","243","null","null","1112","251","null","null","977","186","null","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","1475","125","null","null","748","115","null","null","727","125","null","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","1219","197","null","null","565","101","null","null","654","186","null","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","1342","184","null","null","831","190","null","null","511","101","null","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","1593","262","null","null","769","130","null","null","824","239","null","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","1583","185","null","null","887","183","null","null","696","125","null","null",
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","953","238","null","null","518","85","null","null","435","243","null","null",
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","909","94","null","null","597","84","null","null","312","69","null","null",
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","1115","182","null","null","520","156","null","null","595","126","null","null",
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","1239","174","null","null","676","124","null","null","563","130","null","null",
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","2446","351","null","null","1191","307","null","null","1255","284","null","null",
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","1911","258","null","null","1104","204","null","null","807","215","null","null",
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","1784","377","null","null","1001","352","null","null","783","177","null","null",
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","1905","201","null","null","1350","214","null","null","555","122","null","null",
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","1569","203","null","null","793","137","null","null","776","222","null","null",
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","2266","326","null","null","1251","243","null","null","1015","335","null","null",
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","1987","325","null","null","1214","214","null","null","773","241","null","null",
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","1518","193","null","null","935","160","null","null","583","152","null","null",
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","1330","160","null","null","764","135","null","null","566","133","null","null",
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","2086","437","null","null","1270","457","null","null","816","156","null","null",
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","1541","189","null","null","872","185","null","null","669","194","null","null",
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","2363","477","null","null","864","257","null","null","1499","476","null","null",
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","2441","309","null","null","1397","304","null","null","1044","281","null","null",
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","2192","356","null","null","1308","354","null","null","884","237","null","null",
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","1235","91","null","null","597","99","null","null","638","120","null","null",
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","1590","183","null","null","1286","203","null","null","304","88","null","null",
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","2869","413","null","null","1286","196","null","null","1583","388","null","null",
"1400000US42101003902","Census Tract 39.02, Philadelphia County, Pennsylvania","2270","244","null","null","1729","219","null","null","541","194","null","null",
