"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003EA","B25034_003M","B25034_003MA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009E","B25034_009M","B25034_009MA","B25034_009EA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA","B25034_011E","B25034_011EA","B25034_011M","B25034_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Annotation of Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Annotation of Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Annotation of Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Annotation of Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Annotation of Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Annotation of Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Annotation of Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Annotation of Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Annotation of Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Annotation of Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Annotation of Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Annotation of Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Annotation of Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Annotation of Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Estimate!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Annotation of Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Annotation of Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Annotation of Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","Annotation of Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","1319","null","153","null","8","null","12","null","37","null","60","null","220","null","119","null","0","null","11","null","155","null","98","null","69","null","52","null","21","null","26","null","13","20","null","null","70","null","88","null","726","null","150","null",
"1400000US42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","1967","null","304","null","65","null","46","null","50","null","47","null","179","null","71","null","24","null","25","null","54","null","64","null","85","null","53","null","20","null","22","null","0","11","null","null","68","null","59","null","1422","null","331","null",
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","1564","null","453","null","56","null","37","null","0","null","11","null","122","null","75","null","146","null","102","null","145","null","77","null","410","null","432","null","67","null","66","null","48","46","null","null","49","null","56","null","521","null","113","null",
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","2243","null","428","null","49","null","41","null","22","null","23","null","295","null","130","null","149","null","60","null","271","null","75","null","419","null","411","null","100","null","67","null","87","47","null","null","29","null","40","null","822","null","120","null",
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","2077","null","326","null","116","null","58","null","35","null","21","null","422","null","113","null","70","null","40","null","39","null","48","null","104","null","67","null","224","null","74","null","260","96","null","null","32","null","25","null","775","null","326","null",
"1400000US42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","741","null","158","null","59","null","55","null","93","null","150","null","330","null","95","null","47","null","42","null","0","null","11","null","40","null","49","null","0","null","11","null","0","11","null","null","0","null","11","null","172","null","87","null",
"1400000US42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","2698","null","266","null","398","null","146","null","98","null","64","null","84","null","72","null","124","null","88","null","54","null","38","null","166","null","112","null","1185","null","199","null","274","130","null","null","129","null","27","null","186","null","138","null",
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","1188","null","144","null","273","null","135","null","27","null","25","null","56","null","29","null","32","null","18","null","16","null","16","null","42","null","30","null","28","null","19","null","21","14","null","null","45","null","28","null","648","null","92","null",
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","1145","null","159","null","180","null","80","null","16","null","19","null","17","null","26","null","17","null","18","null","47","null","31","null","27","null","17","null","8","null","13","null","11","12","null","null","79","null","50","null","743","null","154","null",
