geoid,name,MFI,MFI_e
14000US42101000101,"Census Tract 1.01, Philadelphia, PA",182986,80024
14000US42101000102,"Census Tract 1.02, Philadelphia, PA",190833,59660
14000US42101000200,"Census Tract 2, Philadelphia, PA",95042,36734
14000US42101000300,"Census Tract 3, Philadelphia, PA",207644,56132
14000US42101000401,"Census Tract 4.01, Philadelphia, PA",,
14000US42101000403,"Census Tract 4.03, Philadelphia, PA",250001,
14000US42101000404,"Census Tract 4.04, Philadelphia, PA",154057,11861
14000US42101000500,"Census Tract 5, Philadelphia, PA",111250,98142
14000US42101000600,"Census Tract 6, Philadelphia, PA",203071,100281
14000US42101000701,"Census Tract 7.01, Philadelphia, PA",205057,120825
14000US42101000702,"Census Tract 7.02, Philadelphia, PA",156186,30542
14000US42101000801,"Census Tract 8.01, Philadelphia, PA",250001,
14000US42101000803,"Census Tract 8.03, Philadelphia, PA",98056,84696
14000US42101000805,"Census Tract 8.05, Philadelphia, PA",230510,68591
14000US42101000806,"Census Tract 8.06, Philadelphia, PA",180380,61490
14000US42101000901,"Census Tract 9.01, Philadelphia, PA",123289,85625
14000US42101000902,"Census Tract 9.02, Philadelphia, PA",212955,95460
14000US42101001001,"Census Tract 10.01, Philadelphia, PA",192500,34739
14000US42101001002,"Census Tract 10.02, Philadelphia, PA",228389,26689
14000US42101001101,"Census Tract 11.01, Philadelphia, PA",,
14000US42101001102,"Census Tract 11.02, Philadelphia, PA",234044,103183
14000US42101001201,"Census Tract 12.01, Philadelphia, PA",184950,43546
14000US42101001203,"Census Tract 12.03, Philadelphia, PA",204866,46181
14000US42101001204,"Census Tract 12.04, Philadelphia, PA",166750,76450
14000US42101001301,"Census Tract 13.01, Philadelphia, PA",225162,30153
14000US42101001302,"Census Tract 13.02, Philadelphia, PA",140583,32001
14000US42101001400,"Census Tract 14, Philadelphia, PA",179609,91447
14000US42101001500,"Census Tract 15, Philadelphia, PA",166364,34473
14000US42101001600,"Census Tract 16, Philadelphia, PA",219167,49700
14000US42101001700,"Census Tract 17, Philadelphia, PA",238125,66831
14000US42101001800,"Census Tract 18, Philadelphia, PA",172540,34898
