geoid,name,totpop25,totpop25_e,BA,BA_e,MA,MA_e,prof,prof_e,doc,doc_e,highered_tot,nodegree,nodegree_e
14000US42101000101,"Census Tract 1.01, Philadelphia, PA",1759,285,811,251,510,203,250,170,110,77,1681,78,307
14000US42101000102,"Census Tract 1.02, Philadelphia, PA",2367,393,1067,280,531,171,422,159,90,79,2110,257,370
14000US42101000200,"Census Tract 2, Philadelphia, PA",2714,522,1042,465,142,72,114,62,113,75,1411,1303,266
14000US42101000300,"Census Tract 3, Philadelphia, PA",2846,398,948,347,456,124,599,167,334,110,2337,509,306
14000US42101000401,"Census Tract 4.01, Philadelphia, PA",2277,382,953,300,532,259,246,86,135,52,1866,411,365
14000US42101000403,"Census Tract 4.03, Philadelphia, PA",942,336,377,268,308,142,110,63,0,11,795,147,256
14000US42101000404,"Census Tract 4.04, Philadelphia, PA",3053,321,1178,275,829,170,184,90,174,83,2365,688,267
14000US42101000500,"Census Tract 5, Philadelphia, PA",2567,336,502,151,282,108,213,81,100,50,1097,1470,333
14000US42101000600,"Census Tract 6, Philadelphia, PA",1291,221,520,140,279,119,294,78,83,54,1176,115,229
14000US42101000701,"Census Tract 7.01, Philadelphia, PA",1437,395,494,280,346,163,308,142,94,82,1242,195,362
14000US42101000702,"Census Tract 7.02, Philadelphia, PA",2077,559,776,232,604,428,119,79,161,103,1660,417,677
14000US42101000801,"Census Tract 8.01, Philadelphia, PA",1256,258,497,121,264,154,272,117,135,78,1168,88,309
14000US42101000803,"Census Tract 8.03, Philadelphia, PA",2491,437,1032,341,553,205,411,184,277,116,2273,218,405
14000US42101000805,"Census Tract 8.05, Philadelphia, PA",2224,456,843,296,566,183,486,172,233,182,2128,96,465
14000US42101000806,"Census Tract 8.06, Philadelphia, PA",2054,360,841,249,316,129,548,294,176,116,1881,173,429
14000US42101000901,"Census Tract 9.01, Philadelphia, PA",1788,299,728,176,415,167,234,122,112,70,1489,299,326
14000US42101000902,"Census Tract 9.02, Philadelphia, PA",2268,331,977,318,304,114,293,80,107,57,1681,587,176
14000US42101001001,"Census Tract 10.01, Philadelphia, PA",2506,448,1060,443,515,149,349,110,256,152,2180,326,249
14000US42101001002,"Census Tract 10.02, Philadelphia, PA",3047,346,1207,289,672,180,553,264,255,147,2687,360,400
14000US42101001101,"Census Tract 11.01, Philadelphia, PA",2944,392,996,281,559,201,288,147,114,92,1957,987,381
14000US42101001102,"Census Tract 11.02, Philadelphia, PA",2200,390,964,275,525,162,346,115,215,149,2050,150,372
14000US42101001201,"Census Tract 12.01, Philadelphia, PA",3218,549,1078,332,868,231,455,234,330,114,2731,487,559
14000US42101001203,"Census Tract 12.03, Philadelphia, PA",1662,281,801,202,372,136,172,85,102,71,1447,215,263
